Value;Parent;Label;Short;Color
0;0;No-Data;NODT;#000000
1;1;Natural;NATL;#269A26
2;2;Anthropic;ANTH;#DB372C
3;3;Water Bodies;WATR;#3498db
4;4;Sand;SAND;#c2b280
5;5;Non-Observed;NOBS;#f8f8f8
6;1;Forest Natural Formation;FORN;#1e8449
7;6;Forest Amazon Biome;FAMZ;#269A27
11;6;Forest Cerrado Biome;FCER;#117a66
12;11;Cerradao;CERD;#52be81
50;1;Non-forest Natural Formation;NFNF;#45b39d
51;50;Savanna;SAVN;#b3eb3e
52;51;Cerrado;CERR;#b3ec3e
53;51;Cerrado Rupestre;CERU;#45b39e
61;51;Vereda;VRDA;#2ecc71
62;50;Campestre;CAMP;#52be80
73;50;Caatinga;CAAT;#82e0aa
74;50;Pampa;PMPA;#239b56
75;50;Restinga;REST;#76d7c4
76;50;Apicum;APCM;#17a589
77;50;Mangue;MANG;#117864
78;50;Seasonal-Wetland;SWET;#62ce90
79;50;Wetland;WETL;#62ce90
90;2;Agriculture;AGRI;#e67e22
91;90;Perenial;PERE;#bb8fce
96;90;Semi-perenial;SEMI;#c29ad2
97;96;Sugarcane;SUGC;#cb8fce
98;90;Single Crop;SNGL;#eb984e
99;98;Soy-Fallow;SOYF;#ff748c
100;98;Cotton-Fallow;COTF;#997379
101;98;Maize-Fallow;MAIF;#d45510
102;90;Double crop;DOUB;#d35400
103;102;Cotton-Soy;COTS;#e59866
104;102;Millet-Cotton;MILC;#e5acb6
105;102;Soy-Maize;SOYZ;#af601a
106;102;Soy-Millet;SOYM;#d68910
107;102;Soy-Sunflower;SOYS;#f1c40f
108;102;Soy-Cotton;SOYT;#811911
109;102;Soy-Corn;SOYC;#813e11
120;2;Forest Non-Natural Formation;FNNF;#117a65
121;120;Secondary Vegetation;SECV;#a9dfbf
122;120;Forestry;FORY;#82e0ab
130;2;Pasture;PAST;#ffdfaa
131;130;Rangeland;RANG;#f5cba7
132;130;Grassland;GRAS;#ffdfab
140;2;Non-Natural Areas;NNAT;#283747
141;140;Urban Area;URBA;#707b7c
142;140;Mining;MNNG;#2e4053
143;140;Bare Soil;BARE;#aeb6bf
145;140;Non-Vegetated Areas;NVEG;#515a5a
